prompt_id,attempt,recall,success,current_prompt
24,7,1.0,True,a bedroom with a bed a chair a clock and a book. Make sure to clearly include the book.
25,1,0.75,False,a bicycle a backpack an umbrella and a handbag
25,2,0.75,False,a bicycle a backpack an umbrella and a handbag. Make sure to clearly include the backpack.
25,3,0.5,False,a bicycle a backpack an umbrella and a handbag. Make sure to clearly include the handbag.
25,4,0.5,False,"a bicycle a backpack an umbrella and a handbag. Make sure to clearly include the backpack, handbag."
25,5,0.75,False,"a bicycle a backpack an umbrella and a handbag. Make sure to clearly include the backpack, handbag."
25,6,0.5,False,a bicycle a backpack an umbrella and a handbag. Make sure to clearly include the handbag.
25,7,0.75,False,"a bicycle a backpack an umbrella and a handbag. Make sure to clearly include the backpack, umbrella."
25,8,0.5,False,a bicycle a backpack an umbrella and a handbag. Make sure to clearly include the backpack.
25,9,1.0,True,"a bicycle a backpack an umbrella and a handbag. Make sure to clearly include the backpack, umbrella."
26,1,0.5,False,a laptop a mouse a keyboard and a cell phone on a desk
26,2,0.75,False,"a laptop a mouse a keyboard and a cell phone on a desk. Make sure to clearly include the laptop, cell phone."
26,3,0.0,False,a laptop a mouse a keyboard and a cell phone on a desk. Make sure to clearly include the cell phone.
26,4,0.5,False,"a laptop a mouse a keyboard and a cell phone on a desk. Make sure to clearly include the laptop, mouse, keyboard, cell phone."
26,5,0.25,False,"a laptop a mouse a keyboard and a cell phone on a desk. Make sure to clearly include the laptop, cell phone."
26,6,0.75,False,"a laptop a mouse a keyboard and a cell phone on a desk. Make sure to clearly include the laptop, mouse, keyboard."
26,7,0.5,False,a laptop a mouse a keyboard and a cell phone on a desk. Make sure to clearly include the cell phone.
26,8,0.5,False,"a laptop a mouse a keyboard and a cell phone on a desk. Make sure to clearly include the mouse, cell phone."
26,9,0.5,False,"a laptop a mouse a keyboard and a cell phone on a desk. Make sure to clearly include the laptop, cell phone."
27,1,0.75,False,a car a bus a truck and a motorcycle in a parking lot
27,2,0.5,False,a car a bus a truck and a motorcycle in a parking lot. Make sure to clearly include the truck.
27,3,0.5,False,"a car a bus a truck and a motorcycle in a parking lot. Make sure to clearly include the car, motorcycle."
27,4,0.75,False,"a car a bus a truck and a motorcycle in a parking lot. Make sure to clearly include the car, motorcycle."
27,5,0.5,False,a car a bus a truck and a motorcycle in a parking lot. Make sure to clearly include the motorcycle.
27,6,0.75,False,"a car a bus a truck and a motorcycle in a parking lot. Make sure to clearly include the truck, motorcycle."
27,7,0.75,False,a car a bus a truck and a motorcycle in a parking lot. Make sure to clearly include the truck.
27,8,0.75,False,a car a bus a truck and a motorcycle in a parking lot. Make sure to clearly include the motorcycle.
27,9,0.75,False,a car a bus a truck and a motorcycle in a parking lot. Make sure to clearly include the truck.
28,1,0.75,False,an apple a banana an orange and a sandwich
28,2,0.75,False,an apple a banana an orange and a sandwich. Make sure to clearly include the sandwich.
28,3,0.75,False,an apple a banana an orange and a sandwich. Make sure to clearly include the banana.
28,4,0.75,False,an apple a banana an orange and a sandwich. Make sure to clearly include the sandwich.
28,5,0.25,False,an apple a banana an orange and a sandwich. Make sure to clearly include the banana.
28,6,0.5,False,"an apple a banana an orange and a sandwich. Make sure to clearly include the banana, orange, sandwich."
28,7,1.0,True,"an apple a banana an orange and a sandwich. Make sure to clearly include the banana, sandwich."
29,1,0.75,False,a person with a dog a cat and a suitcase
29,2,0.5,False,a person with a dog a cat and a suitcase. Make sure to clearly include the cat.
29,3,0.75,False,"a person with a dog a cat and a suitcase. Make sure to clearly include the dog, cat."
29,4,0.5,False,a person with a dog a cat and a suitcase. Make sure to clearly include the dog.
29,5,0.75,False,"a person with a dog a cat and a suitcase. Make sure to clearly include the dog, suitcase."
29,6,0.75,False,a person with a dog a cat and a suitcase. Make sure to clearly include the cat.
29,7,0.5,False,a person with a dog a cat and a suitcase. Make sure to clearly include the dog.
29,8,1.0,True,"a person with a dog a cat and a suitcase. Make sure to clearly include the person, cat."
30,1,0.5,False,a couch a vase a clock and a teddy bear in a living room
30,2,1.0,True,"a couch a vase a clock and a teddy bear in a living room. Make sure to clearly include the couch, vase."
