method,prompt_id,complexity,attempt,recall_score,success,image_path,total_gens,selected
rejection_k5,8,simple,4,1.0,True,images_rejection/p8_a4.png,5,False
rejection_k5,8,simple,5,1.0,True,images_rejection/p8_a5.png,5,False
rejection_k5,9,simple,1,0.5,False,images_rejection/p9_a1.png,5,False
rejection_k5,9,simple,2,1.0,True,images_rejection/p9_a2.png,5,True
rejection_k5,9,simple,3,0.5,False,images_rejection/p9_a3.png,5,False
rejection_k5,9,simple,4,1.0,True,images_rejection/p9_a4.png,5,False
rejection_k5,9,simple,5,0.5,False,images_rejection/p9_a5.png,5,False
rejection_k5,10,simple,1,1.0,True,images_rejection/p10_a1.png,5,True
rejection_k5,10,simple,2,0.5,False,images_rejection/p10_a2.png,5,False
rejection_k5,10,simple,3,1.0,True,images_rejection/p10_a3.png,5,False
rejection_k5,10,simple,4,0.5,False,images_rejection/p10_a4.png,5,False
rejection_k5,10,simple,5,1.0,True,images_rejection/p10_a5.png,5,False
rejection_k5,11,medium,1,0.6666666666666666,False,images_rejection/p11_a1.png,5,False
rejection_k5,11,medium,2,1.0,True,images_rejection/p11_a2.png,5,True
rejection_k5,11,medium,3,0.6666666666666666,False,images_rejection/p11_a3.png,5,False
rejection_k5,11,medium,4,0.6666666666666666,False,images_rejection/p11_a4.png,5,False
rejection_k5,11,medium,5,1.0,True,images_rejection/p11_a5.png,5,False
rejection_k5,12,medium,1,0.6666666666666666,False,images_rejection/p12_a1.png,5,False
rejection_k5,12,medium,2,0.3333333333333333,False,images_rejection/p12_a2.png,5,False
rejection_k5,12,medium,3,0.6666666666666666,False,images_rejection/p12_a3.png,5,False
rejection_k5,12,medium,4,0.6666666666666666,False,images_rejection/p12_a4.png,5,False
rejection_k5,12,medium,5,1.0,True,images_rejection/p12_a5.png,5,True
rejection_k5,13,medium,1,0.6666666666666666,False,images_rejection/p13_a1.png,5,False
rejection_k5,13,medium,2,0.6666666666666666,False,images_rejection/p13_a2.png,5,False
rejection_k5,13,medium,3,0.6666666666666666,False,images_rejection/p13_a3.png,5,False
rejection_k5,13,medium,4,0.6666666666666666,False,images_rejection/p13_a4.png,5,False
rejection_k5,13,medium,5,1.0,True,images_rejection/p13_a5.png,5,True
rejection_k5,14,medium,1,0.3333333333333333,False,images_rejection/p14_a1.png,5,False
rejection_k5,14,medium,2,0.6666666666666666,False,images_rejection/p14_a2.png,5,False
rejection_k5,14,medium,3,1.0,True,images_rejection/p14_a3.png,5,True
rejection_k5,14,medium,4,0.6666666666666666,False,images_rejection/p14_a4.png,5,False
rejection_k5,14,medium,5,0.6666666666666666,False,images_rejection/p14_a5.png,5,False
rejection_k5,15,medium,1,0.6666666666666666,False,images_rejection/p15_a1.png,5,True
rejection_k5,15,medium,2,0.6666666666666666,False,images_rejection/p15_a2.png,5,False
rejection_k5,15,medium,3,0.6666666666666666,False,images_rejection/p15_a3.png,5,False
rejection_k5,15,medium,4,0.3333333333333333,False,images_rejection/p15_a4.png,5,False
rejection_k5,15,medium,5,0.3333333333333333,False,images_rejection/p15_a5.png,5,False
rejection_k5,16,medium,1,0.6666666666666666,False,images_rejection/p16_a1.png,5,False
rejection_k5,16,medium,2,0.6666666666666666,False,images_rejection/p16_a2.png,5,False
rejection_k5,16,medium,3,0.6666666666666666,False,images_rejection/p16_a3.png,5,False
rejection_k5,16,medium,4,0.6666666666666666,False,images_rejection/p16_a4.png,5,False
rejection_k5,16,medium,5,1.0,True,images_rejection/p16_a5.png,5,True
rejection_k5,17,medium,1,0.3333333333333333,False,images_rejection/p17_a1.png,5,False
rejection_k5,17,medium,2,0.3333333333333333,False,images_rejection/p17_a2.png,5,False
rejection_k5,17,medium,3,0.6666666666666666,False,images_rejection/p17_a3.png,5,False
rejection_k5,17,medium,4,0.0,False,images_rejection/p17_a4.png,5,False
rejection_k5,17,medium,5,1.0,True,images_rejection/p17_a5.png,5,True
rejection_k5,18,medium,1,0.6666666666666666,False,images_rejection/p18_a1.png,5,False
rejection_k5,18,medium,2,0.3333333333333333,False,images_rejection/p18_a2.png,5,False
rejection_k5,18,medium,3,0.6666666666666666,False,images_rejection/p18_a3.png,5,False
rejection_k5,18,medium,4,0.0,False,images_rejection/p18_a4.png,5,False
rejection_k5,18,medium,5,1.0,True,images_rejection/p18_a5.png,5,True
rejection_k5,19,medium,1,1.0,True,images_rejection/p19_a1.png,5,True
rejection_k5,19,medium,2,0.6666666666666666,False,images_rejection/p19_a2.png,5,False
rejection_k5,19,medium,3,1.0,True,images_rejection/p19_a3.png,5,False
rejection_k5,19,medium,4,1.0,True,images_rejection/p19_a4.png,5,False
rejection_k5,19,medium,5,1.0,True,images_rejection/p19_a5.png,5,False
rejection_k5,20,medium,1,0.6666666666666666,False,images_rejection/p20_a1.png,5,True
rejection_k5,20,medium,2,0.3333333333333333,False,images_rejection/p20_a2.png,5,False
rejection_k5,20,medium,3,0.3333333333333333,False,images_rejection/p20_a3.png,5,False
rejection_k5,20,medium,4,0.3333333333333333,False,images_rejection/p20_a4.png,5,False
rejection_k5,20,medium,5,0.6666666666666666,False,images_rejection/p20_a5.png,5,False
rejection_k5,21,hard,1,0.5,False,images_rejection/p21_a1.png,5,False
rejection_k5,21,hard,2,0.75,False,images_rejection/p21_a2.png,5,False
rejection_k5,21,hard,3,1.0,True,images_rejection/p21_a3.png,5,True
rejection_k5,21,hard,4,0.75,False,images_rejection/p21_a4.png,5,False
rejection_k5,21,hard,5,0.75,False,images_rejection/p21_a5.png,5,False
rejection_k5,22,hard,1,0.25,False,images_rejection/p22_a1.png,5,False
rejection_k5,22,hard,2,0.75,False,images_rejection/p22_a2.png,5,True
rejection_k5,22,hard,3,0.5,False,images_rejection/p22_a3.png,5,False
rejection_k5,22,hard,4,0.5,False,images_rejection/p22_a4.png,5,False
rejection_k5,22,hard,5,0.75,False,images_rejection/p22_a5.png,5,False
rejection_k5,23,hard,1,0.5,False,images_rejection/p23_a1.png,5,False
rejection_k5,23,hard,2,0.25,False,images_rejection/p23_a2.png,5,False
rejection_k5,23,hard,3,0.75,False,images_rejection/p23_a3.png,5,True
rejection_k5,23,hard,4,0.75,False,images_rejection/p23_a4.png,5,False
rejection_k5,23,hard,5,0.5,False,images_rejection/p23_a5.png,5,False
rejection_k5,24,hard,1,0.75,False,images_rejection/p24_a1.png,5,True
rejection_k5,24,hard,2,0.75,False,images_rejection/p24_a2.png,5,False
rejection_k5,24,hard,3,0.5,False,images_rejection/p24_a3.png,5,False
rejection_k5,24,hard,4,0.5,False,images_rejection/p24_a4.png,5,False
rejection_k5,24,hard,5,0.75,False,images_rejection/p24_a5.png,5,False
rejection_k5,25,hard,1,0.75,False,images_rejection/p25_a1.png,5,False
rejection_k5,25,hard,2,0.75,False,images_rejection/p25_a2.png,5,False
rejection_k5,25,hard,3,0.75,False,images_rejection/p25_a3.png,5,False
rejection_k5,25,hard,4,1.0,True,images_rejection/p25_a4.png,5,True
rejection_k5,25,hard,5,0.75,False,images_rejection/p25_a5.png,5,False
rejection_k5,26,hard,1,0.5,False,images_rejection/p26_a1.png,5,False
rejection_k5,26,hard,2,0.75,False,images_rejection/p26_a2.png,5,False
rejection_k5,26,hard,3,1.0,True,images_rejection/p26_a3.png,5,True
rejection_k5,26,hard,4,0.75,False,images_rejection/p26_a4.png,5,False
rejection_k5,26,hard,5,0.25,False,images_rejection/p26_a5.png,5,False
rejection_k5,27,hard,1,0.5,False,images_rejection/p27_a1.png,5,False
rejection_k5,27,hard,2,0.25,False,images_rejection/p27_a2.png,5,False
rejection_k5,27,hard,3,0.5,False,images_rejection/p27_a3.png,5,False
rejection_k5,27,hard,4,0.5,False,images_rejection/p27_a4.png,5,False
rejection_k5,27,hard,5,0.75,False,images_rejection/p27_a5.png,5,True
rejection_k5,28,hard,1,0.5,False,images_rejection/p28_a1.png,5,False
rejection_k5,28,hard,2,0.75,False,images_rejection/p28_a2.png,5,True
rejection_k5,28,hard,3,0.75,False,images_rejection/p28_a3.png,5,False
rejection_k5,28,hard,4,0.75,False,images_rejection/p28_a4.png,5,False
rejection_k5,28,hard,5,0.25,False,images_rejection/p28_a5.png,5,False
rejection_k5,29,hard,1,0.75,False,images_rejection/p29_a1.png,5,True
rejection_k5,29,hard,2,0.75,False,images_rejection/p29_a2.png,5,False
rejection_k5,29,hard,3,0.75,False,images_rejection/p29_a3.png,5,False
rejection_k5,29,hard,4,0.75,False,images_rejection/p29_a4.png,5,False
rejection_k5,29,hard,5,0.75,False,images_rejection/p29_a5.png,5,False
rejection_k5,30,hard,1,0.5,False,images_rejection/p30_a1.png,5,False
rejection_k5,30,hard,2,0.5,False,images_rejection/p30_a2.png,5,False
rejection_k5,30,hard,3,0.5,False,images_rejection/p30_a3.png,5,False
rejection_k5,30,hard,4,1.0,True,images_rejection/p30_a4.png,5,True
rejection_k5,30,hard,5,0.75,False,images_rejection/p30_a5.png,5,False
